author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,description,url,created_at.y,username,location,verified
1333222792507109377,1384703410210066432,2021-04-21T02:59:54.000Z,es,"@IsabelRocio3011 @KarolCariola Muy bien esa parada de carro 
A la zurda",2,0,6,0,Rolando Hernán,La honestidad y la falta de ortografía,"",2020-11-30T01:34:37.000Z,RolandoHernn1,"",FALSE
1346973605343621123,1384695658758778882,2021-04-21T02:29:06.000Z,es,@CarlosEMP2071 @KarolCariola Chupalo pajarón culiao,0,0,0,0,Ale Moreno,satan es la cumbia,"",2021-01-07T00:15:36.000Z,AleMore33178666,"Maipú, Chile",FALSE
1351198852301385741,1384725588922011649,2021-04-21T04:28:02.000Z,es,@kattmiel @KarolCariola Esta mina es una vergüenza de persona,0,0,0,0,El Otro Córdova,"","",2021-01-18T16:04:56.000Z,ElOtroCordova,"",FALSE
1351198852301385741,1384725162008981504,2021-04-21T04:26:20.000Z,es,@KarolCariola Parece que se van todos...,0,0,0,0,El Otro Córdova,"","",2021-01-18T16:04:56.000Z,ElOtroCordova,"",FALSE
1353359402061934592,1384715729749090305,2021-04-21T03:48:51.000Z,und,@KarolCariola https://t.co/56BnNHcQRP,0,0,0,0,PoliticamenteIncorrectoChile,Cuando usted le dicen que usted decide... es porque usted no decide nada,"",2021-01-24T15:10:47.000Z,ChileIncorrecto,Santiago de Chile,FALSE
1367216259813752832,1384697308017827848,2021-04-21T02:35:39.000Z,und,@camila_vallejo @KarolCariola https://t.co/lEej2jROpA,0,0,0,0,"JUAN anticomunismo, antiprogre, antiayer💚💚,",no,"",2021-03-03T20:52:49.000Z,Jotajotadepre,"",FALSE
1367216259813752832,1384695052165914625,2021-04-21T02:26:41.000Z,und,@camila_vallejo @KarolCariola @GiorgioJackson @pablovidalrojas @ncastilo @paulanarvaezo @gonzalowinter @MaiteOrsini https://t.co/KcrKKjsE4t,0,0,1,0,"JUAN anticomunismo, antiprogre, antiayer💚💚,",no,"",2021-03-03T20:52:49.000Z,Jotajotadepre,"",FALSE
1367595270192717824,1384711751619411970,2021-04-21T03:33:02.000Z,es,@KarolCariola No da más con esta 💩💩💩💩de congreso,1,0,3,0,Bárbarita🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱,"#NoMasONU
#TerceraCuenta","",2021-03-04T21:58:42.000Z,bmg0207,"Santiago, Metropolitana de San",FALSE
1500293430,1384716348094390273,2021-04-21T03:51:18.000Z,es,"@PCdeChile @KarolCariola @sebastianpinera el problema es que el presidente de Venezuela y de Cuba han demostrado que están fuera de sus casillas, al permitir que jóvenes se prostituyan para poder comer y piensan ustedes que mantener un país así seguramente es bueno, o los venezolanos que esperan las basura para comer",0,0,0,0,Fathe,"Christian, Fotografhy, moto, guitarra, flauta traversa, leer, Quantum, Neuroscience, disfruto de la vida como viene en cada presente... Worship","",2013-06-11T04:41:41.000Z,leondelavictori,"Panguipulli, Chile",FALSE
151164058,1384708839992434690,2021-04-21T03:21:28.000Z,es,"@Valeska07995687 @KarolCariola @PrensaPCdeChile SATANAS. EN
    P E R S O N A
     COMPARTIR https://t.co/hLqq9WOwON",0,0,0,0,GUILLERMO MORALES JI,"","",2010-06-02T19:24:40.000Z,esdx,"",FALSE
155768740,1384716720426921984,2021-04-21T03:52:47.000Z,und,@KarolCariola #AcusacionConstitucionalAPiñeraAhora,0,0,1,0,#AprueboNuevaC y #CC👽👁,"soñando con un mundo mejor!!!! se puede...libertad, equidad, empatía: sólo humanidad y amor","",2010-06-15T01:36:27.000Z,MarielaSez,"Concepción, Chile",FALSE
174913483,1384706506839502849,2021-04-21T03:12:12.000Z,es,@karina_ol @siliconvalle @ComunesCL @danielstingo @gabrielboric @GiorgioJackson @renenaranjo @Mister_Wolf_0 @elfrente_amplio @jjcc_chile @KarolCariola El pensamiento del rico acá en chile por eso estamos como estamos con estos chupasangre,0,0,0,0,dante,Prefiero morir de pie antes de ser humillado y arrodillado toda la vida.,"",2010-08-05T03:50:50.000Z,danteandres32,"",FALSE
182429847,1384724155094929408,2021-04-21T04:22:20.000Z,es,"RETIRO DE RENTAS VITALICIAS NO SERÍA INCONSTITUCIONAL DICEN COMPAÑÍAS DE SEGUROS.
ATENCIÓN:
@ProvosteYasna
@Muletjaime
@_adrianamunoz
@camila_vallejo
@KarolCariola
@carmen_hertz
@raulsaldivarps
@aguillier12
@alejandramatus
@SenadoresPS
@PiensaPrensa
👇👇
https://t.co/pyb8YF6J1y",0,0,0,0,Solitude🌞 #Apruebo,"carpe diem igualdad, libertad, fraternidad, un mundo justo y solidario, algún día se logrará!","",2010-08-24T15:42:17.000Z,carpediem_dia,"",FALSE
183688484,1384696205184311298,2021-04-21T02:31:16.000Z,es,@KarolCariola Chile no da más con este congreso!!! Uds son lo qué hay que cambiar!,0,0,2,0,Margarita 💚💚 💄👗👠👙,"soñadora aterrizada, luchadora incansable. Mamá y abuela ultra feliz!!🐣Bloqueo al que insulta y carece de argumentos.","",2010-08-27T17:00:42.000Z,Margarita_rod,"",FALSE
194452831,1384726398514966529,2021-04-21T04:31:15.000Z,es,"Entonces firmen la #AcusacionConstitucionalAPiñeraAhora @KarolCariola ahora, no mañana ni pasado mañana es ahoa https://t.co/5ShPklmnQF",0,0,0,0,Luis Gps 🐱🇷🇺 (Koshachiy) 😼🇷🇺,"con sentido del humor, me gustan los felinos y los canes, #soydelapruebo, vamos @contodxs a una nueva Constitución, partido en formacion","",2010-09-24T04:27:39.000Z,luisgps2811,santiago de chile,FALSE
207663406,1384707516689489922,2021-04-21T03:16:13.000Z,es,@eldif2 @KarolCariola @sebastianpinera Me refiero a tu nivel para opinar del presidente. Se prudente para no quedar como un ridiculo. Tampoco entendiste,0,0,0,0,juliopcotapos,soy de River. Vivo feliz en Argentina. y soy chileno de la UC. lo más importante: la libertad. Y se viene el 3ero👍👍👍,"",2010-10-25T19:52:35.000Z,julespcl,"",FALSE
214114840,1384717472302084098,2021-04-21T03:55:46.000Z,es,@KarolCariola El comunismo siendo comunismo,0,0,0,0,Max,"","",2010-11-10T16:12:27.000Z,mgallardos,"",FALSE
234037423,1384712931523375104,2021-04-21T03:37:44.000Z,es,"Seria bueno que pidieran transparencia en la contratación y función q cumple el sr @clarroulet en el 2do piso, atribuciones y poder. Se podrá @Contraloriacl @ContraloritoCGR @rodrigosepu @KarolCariola @camila_vallejo @LeoSotoChile",0,0,0,0,juan edo.,"Cambiar el mundo, amigo Sancho, no es ni utopía ni locura, es justicia.
#yoapruebo
#paridad 
#constituyentes
#ganasdecambiarestepaisql","",2011-01-04T18:09:02.000Z,willyedo,"Valparaíso, LV",FALSE
2432877486,1384704362753236992,2021-04-21T03:03:41.000Z,es,Amplifica la voz de más mujeres sigue la lista @Si_taPia_kona @sapsauil @Veroelenarojas @colibrisulfuric @Cecilia57762431 @Pilar07518865 @polletcilla @izaira6 @Beakobito1 @Fabyto15 @gigiapruebo @camila_vallejo @KarolCariola https://t.co/Y0lOoFkTyw,7,1,9,0,Caro A🤸‍♀️⛹️‍♀️,"Happycracia de @ecabanasd 
 #Jadue2022
Nos queremos vivas✊💕!!","",2014-04-08T02:04:19.000Z,Caroarvas,Chile,FALSE
249384754,1384706026415566848,2021-04-21T03:10:17.000Z,es,"@FelipeNatri @jcoulon @KarolCariola No sabes nada,, nunca han sido izquierda son los amarillos que gobernaron por 30 años ahora será la izquierda ..",0,0,0,0,nelson enrique,"Me dicen comunista ,,.pero me gusta el buen vino ..nada que ver ..😳😳😳","",2011-02-08T23:09:45.000Z,narbiza,santiago,FALSE
249445600,1384720344309813250,2021-04-21T04:07:11.000Z,es,"@KarolCariola ... con esta clase política, con el Estado. Ustedes, transversalmente han demostrado que el Estado es la peor solución a los problemas de la gente.",0,0,0,0,Ivan Whipple,"","",2011-02-09T02:03:42.000Z,iwhippleg,"Santiago, Chile",FALSE
26588263,1384712830016962560,2021-04-21T03:37:20.000Z,es,@KarolCariola @connieachurra Saquen al maldito de piñera ya!!!!!,0,0,0,0,#Fuerapiñera,"Solo otra persona tratando de ser feliz. Tratando de mantenerme lejos de los fachos culiaos, mutantes inhumanos que solo desean y hacen el mal. #yoaprobe","",2009-03-25T20:53:03.000Z,ajubidx_ela,República bananera de Chile,FALSE
2716349255,1384714708054417408,2021-04-21T03:44:47.000Z,es,"@Ofernandez68 @JaduePdte @KarolCariola Lo que se hace con los fachos sin cerebro, casados entre primos, seguidores de asesinos y corruptos, es simplemente bloquearlos, son una lacra de la sociedad..... bloqueado por facho imbécil!!",0,0,0,0,alex puentes,"Ni ahí con los fachos, familia,hijos, U de Chile,","",2014-07-18T04:33:40.000Z,alecitoazul1977,"",FALSE
274153811,1384699186759835649,2021-04-21T02:43:07.000Z,es,"Gran logro de la compañera @KarolCariola, es una medida difícil pero requerida en ciertos casos y debe existir la libertad para ello. https://t.co/blq0IKPbLJ",0,0,0,0,Francisco Rojas,"De Santiago a la costa a la ecuatoriana, desde la verticalidad contribuyendo al desarrollo de las comunidades.

Música, pensamiento y movimiento","",2011-03-29T20:50:10.000Z,frojasfigueroa,"Manabi, Ecuador",FALSE
2744756205,1384695846751588354,2021-04-21T02:29:50.000Z,es,@KarolCariola Ni contigo tampoco perra !!,0,0,0,0,CanibalIronia,Solo estoy acá para criticar y buscar lo inesperado.,"",2014-08-16T21:36:06.000Z,Penkista1978,Concepcion - Chile,FALSE
277155434,1384741138741989382,2021-04-21T05:29:49.000Z,es,"@BlameyEvy @Gabhiitota @elhijodelteto @karina_ol @siliconvalle @ComunesCL @danielstingo @gabrielboric @GiorgioJackson @renenaranjo @Mister_Wolf_0 @elfrente_amplio @jjcc_chile @KarolCariola La industria se aprovecha del contratista ya que, se fija un precio, quien toma ese riesgo es él y, si no cumple, la empresa mandante se busca a otro y chao. El costo de edificación seguirá siendo el mismo teniendo A, B o C contratista.",0,0,0,0,Себастьян,"Sebastián.
San Miguel Stgo CL Represent!","",2011-04-04T20:18:24.000Z,SJARG,"",FALSE
