author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,verified,name,url,description
587035450,2021-04-21T03:27:57.000Z,1384710470649716744,es,@Orrego Jajajaja Orrego hijo de la dictadura,0,0,0,0,2012-05-22T01:20:17.000Z,lleinalbornoz,FALSE,Leandro Albornoz,"",Debes vivir como si pudieras hacer cualquier cosa que has soñado.!!!
61914765,2021-04-21T01:03:07.000Z,1384674021925654530,es,"@Orrego Estimado, tengo una duda, usted me podría indicar en qué minuto hay humor, o en q segundo ud se ríe?",1,0,4,0,2009-08-01T00:26:55.000Z,bomberobravo,FALSE,Luiz,"","Chileno- moro no São Paulo, Ex bombeiro, Agrónomo e mestrado no MA(e), centro dereita, dou Rt o que gosto. 💚22% 👍"
63923608,2021-04-21T02:21:05.000Z,1384693641222963203,es,"@Orrego Y aquí 👇🏼👇🏼👇🏼, tu jefa @mbachelet con censura aceptable??? https://t.co/xDeTlNBtU7",0,0,0,0,2009-08-08T06:41:05.000Z,Rov76,FALSE,Rodrigo Velásquez R. 🇨🇱,"",Nunca podrás amar bien si conoces mal. Lo que comienza con mentiras y engaños no prosperará... La verdad siempre adelante. 🇨🇱
64858658,2021-04-21T03:48:41.000Z,1384715686816137217,es,"@Orrego Si crees que eso es humor tienes bien poco sentido del humor.
Creo que no eres ingenuo y tienes claro lo que esto significa, pero para ti el fin justifica los medios.",0,0,0,0,2009-08-11T23:16:03.000Z,rpmix,FALSE,Rpmix,"",""
68240013,2021-04-21T00:16:21.000Z,1384662251022467072,es,"@Orrego Objetivamente, es grande la palabra humor para el sketch...fome fome.",0,0,0,0,2009-08-23T21:23:49.000Z,jcborgono,FALSE,juankis 🇨🇱 🇨🇱 / 🤘🏼💙❤️💙,"","Libros, películas, series. Mientras sean interesantes, siempre habrá tiempo. 💙❤️Azul de corazón #VamosLaU🤘🏼Dios es mi copiloto."
708833755339825152,2021-04-21T01:14:06.000Z,1384676786148098050,es,@Orrego Quien es Orrego?,0,0,0,0,2016-03-13T01:55:11.000Z,Rudolf__Karl,FALSE,RudolfKarl,"","Mi pais por sobre todo / Mein Land vor allem (AFD)/ My country above all.🇨🇱 🇩🇪  🇺🇸
Si le gusta la libre expresión, déjeme Twittear en paz."
732398360573952000,2021-04-20T23:20:45.000Z,1384648260883783680,es,"@Orrego Claudito, se sube al carro y quiere ser gobernador, no sé si las parodias que hacía Kramer de usted, que lo mostraba cómo un tarado e imbécil le hacía gracia a usted y su familia",0,0,0,0,2016-05-17T02:32:31.000Z,c0a86da815fd43b,FALSE,Richard Carrasco,"","Me gusta el deporte, las actividades al aire libre, disfrutar de cosas simples"
732940457651507201,2021-04-21T01:39:21.000Z,1384683138933264387,es,"@Orrego ¿Y el denostar, a través de la mal llamada libertad de expresión, es parte del pilar democrático que tanto pregonas?",0,0,0,0,2016-05-18T14:26:37.000Z,ssantos_gatica,FALSE,Sandra...💚💚👮‍♂️ Anticomunista💪Patriota🇨🇱,"",Soy del 22% a mucha honra❤🇨🇱...La derecha🤚es lo mío... #Patriota hasta la médula...Anticomunista ahora y siempre 🇨🇱💪
757672829450092552,2021-04-21T01:23:43.000Z,1384679207540830209,es,"@Orrego Chile tiene tradición de políticos corruptos e incompetentes, cierto???",0,0,0,0,2016-07-25T20:24:14.000Z,ange_sepulvedam,FALSE,Ángela Sepúlveda,"","""Solo con el corazón se puede ver bien; lo esencial es invisible a los ojos."""
86325671,2021-04-21T03:33:45.000Z,1384711932201029632,es,@Orrego Espero que las FUERZAS ARMADAS DE UNA VEZ SE PONGAN LOS PANTALONES Y SAQUEN DE UNA NUENA VEZ A LOS PARASITOS CHUPASANGRE DE LOS PODERES DEL ESTADO....PREFIERO OTRO GOLPE MILITAR..ANTES DE UN GOBIERNO COMUNISTA...,0,0,0,0,2009-10-30T14:38:58.000Z,fuditec,FALSE,LA GENTE ES MUY PORFIADA...,"",""
87063607,2021-04-21T03:56:24.000Z,1384717631786209280,es,"@Orrego ¡Qué imbécil!
Las denuncias están en la justicia.
Por otra parte, no es humor y menos políticos. El Ejército no es parte de la política.
Sr. Orrego, cállese en vez de escribir leseras.",0,0,0,0,2009-11-02T23:57:52.000Z,alorato,FALSE,Estenio Mesa,https://t.co/PKsPmbnfIK,Soy un liberal-conservador que creyó que el socialismo era el destino de la humanidad hasta que la evidencia me señaló que fue la gran mentira del siglo XX
89471009,2021-04-21T00:56:08.000Z,1384672266013790208,und,@Orrego #YoApoyoALasFFAA,1,0,0,0,2009-11-12T15:38:29.000Z,giorgia01,FALSE,🇨🇱,"",Patriota!!! 🇨🇱🇨🇱🇨🇱 siempre por la derecha ! soy de la secta ! 🚔#YoApoyoACarabinerosDeChile 💚💚💚💚💚💚💚💚💚💚💚💚
902089021,2021-04-21T00:23:35.000Z,1384664072478732291,es,@Orrego @TAbusleme 🤔 Bello el gobernador.,0,0,0,0,2012-10-24T15:48:15.000Z,ConSolPorFavor,FALSE,Zary,"","Lcda. en Bioanálisis. Uc🤍
Con Dios todo. 
#SosVenezuela 
No welcome gente Tóxica.
Seamos mejores personas.
Más Comprensión Lectora por favor 🙏🏻.
 🇻🇪 en🇨🇱"
909315618,2021-04-21T01:10:52.000Z,1384675970502770691,es,@Orrego El humor es una cosa la falta de respeto otra.... No hay que ser muy inteligente así que no venga con que es inaceptable.... Cada quien tiene todo el derecho de expresar lo que no le parece..,0,0,0,0,2012-10-28T02:04:22.000Z,paulyaleo,FALSE,Paula Alejandra,"",Las personas nacen libres e iguales en dignidad y derechos  #YoRechazo  🇨🇱
911262804895830016,2021-04-21T03:39:14.000Z,1384713308893241344,es,@Orrego Y tu preocupado de lo q digan las FAs?? Ponte a trabajar zángano.,0,0,0,0,2017-09-22T16:15:57.000Z,JaimeRamirezM12,FALSE,Jaime Ramirez M,"",RECHAZO. Antizurdo. Doy mi opinión si no le gusta..siga no la lea
931208022843645952,2021-04-21T05:25:52.000Z,1384740143387525122,es,"@Orrego @2020elresumen ""Inaceptable, impresentable, siento que..., etc"".

Palabras manoseadas de la oposicion para lavarse las manos como siempre.
Cobardes!
Despues andan cenando con ellos en la misma mesa!

Ustedes traicionaron al pueblo.
DC golpista y lo siguen haciendo.

PS, PPD la misma mierda.",0,0,0,0,2017-11-16T17:11:08.000Z,gaviotasincera,FALSE,silvina palomino,"",Soltera otra vez. Estoy diseñando mi vida. Las casualidades no existen. Malas pulgas. Animalover. Mente inquieta. #Catlover #Apruebo #ConstitucionECOLOGICA!!!
973926559403868165,2021-04-20T23:57:05.000Z,1384657403275272192,es,"@Orrego No sólo a periodista...politicos , funcionarios del congreso y etc...",1,0,0,0,2018-03-14T14:19:21.000Z,NiltoEly,FALSE,Nilto Ely 🇨🇱,"","Sobreviviente en mi planeta,  filosofía budista, amante de la naturaleza, atleta, Ingeniero y Foto real.
#Patriota
#BloquePatriota 🇨🇱
#ChileUnidoAvanza"
97966718,2021-04-20T23:05:22.000Z,1384644390807822337,es,"@ketty_Importa @Orrego Si, ahí estamos todos los hinchas de Colo Colo 🤦🏻‍♂️",0,0,0,0,2009-12-19T19:31:31.000Z,profesorurzua,FALSE,Norberto Urzua,"","Libre. Discrimino cada vez que elijo algo y lucro cada vez que realizo un trabajo remunerado. No demonizo las palabras. Soy del Colo, y qué?"
