author_id,created_at.x,id,text,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,url,username,description,verified,name,created_at.y
1374113859817119746,2021-04-20T22:36:52.000Z,1384637218308993025,"@FelipeWard @ServiuRM @Minvu @GuilleRolandoV @minvuvalparaiso @MinvuOHiggins @MinvuRM @minvu_loslagos @minvubiobio @MinvuAntofa @minvuatacama @minvumagallanes MINISTRO... LIBEREN LAS RESTRICCIONES DEL DS1 PARA COMPRAR EN REGIÓNES
LA RM NO TIENE INTEGRACIÓN SOCIAL, SOMOS MUCHAS FAMILIAS EN LA MISMA SITUACIÓN
Y SIGUEN DANDO SUBSIDIOS.. PURAS ASPIRINAS!!!! 
#SUBSIDIOFANTASMA
@MAS_INTEGRACION",es,2,1,4,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374113859817119746,2021-04-20T22:43:46.000Z,1384638953085616128,@Minvu @FelipeWard @GuilleRolandoV @GobiernodeChile LIBEREN LAS RESTRICCIONES DEL DS1 PARA COMPRAR EN REGIÓNES AL IGUAL QUE LOS DEL SUBSIDIO DS49.. TODOS ESTAMOS EN PANDEMIA @MAS_INTEGRACION @FELIPEWARD,es,0,0,0,0,"",Dayana72670481,"Mamá de Alison 💕
Comuna de El bosque, RM",FALSE,Dayana Unda Hernández,2021-03-22T21:40:58.000Z
1374160751787700227,2021-04-20T22:55:37.000Z,1384641933944016900,"@Minvu @FelipeWard @GuilleRolandoV @GobiernodeChile Hola,mi hijo quedó sin trabajo en 4/del 2020 vive de allegado el a postulado a 2subsidio vivienda social y rural, yo le cedi unos metros de suelo para poder ayudarle a conseguir su casa tiene su libreta de ahorro hace 3 año pero lamentablemente no a podido calificar para lacasa",es,0,0,0,0,"",Thalacid74,siempre alegre divertida y servicial,FALSE,Italia,2021-03-23T00:47:55.000Z
1374160751787700227,2021-04-20T23:04:31.000Z,1384644177070276609,"@FelipeWard @Minvu @GuilleRolandoV @minvuvalparaiso @MinvuOHiggins @MinvuRM @minvu_loslagos @minvubiobio @MinvuAntofa @minvuatacama @minvumagallanes Lamentablemente este es un país de los vivos, son muchas las personas que obtienen vivienda sin necesidad y dejan a otros que si la necesitan con urgencia acá en Hijuelas paso y sigue pasando ,mis hijos ninguno a calificado, apesar de vivir de allegado o pagando arriendo.",es,0,0,0,0,"",Thalacid74,siempre alegre divertida y servicial,FALSE,Italia,2021-03-23T00:47:55.000Z
1374447181155897350,2021-04-21T02:57:02.000Z,1384702691486617600,"@T13 @FelipeWard @Minvu @ServiuRM
7000 y cuantos realmente podrán aplicarlos? Hay cientos que tenemos el DS1 tramo1 y NO HAY CUPOS DE INTEGRACION en las inmobiliarias. Dar solución a estas familias debería ser su prioridad y NO jugar con la esperanza de miles.
Necesitamos solución hoy",es,0,0,0,0,"",Jeniffe79264647,amo a mi familia 😍😍,FALSE,Jeniffer🤗🤗,2021-03-23T19:45:53.000Z
1374447181155897350,2021-04-20T21:40:45.000Z,1384623095999258627,"@mas_integracion @FelipeWard @Minvu @GuilleRolandoV @minvuvalparaiso @MinvuOHiggins @MinvuRM @minvu_loslagos @minvubiobio @MinvuAntofa @minvuatacama @minvumagallanes Y no bajaremos los brazos hasta conseguir nuestra casa.
🏡🏡🏡🏡🏡",es,1,0,0,0,"",Jeniffe79264647,amo a mi familia 😍😍,FALSE,Jeniffer🤗🤗,2021-03-23T19:45:53.000Z
1374447181155897350,2021-04-21T01:20:23.000Z,1384678368491282438,"@Senado_Chile @Duranasenador Por favor también hablen de las cientos de familias que tenemos ganado el subsidio habitacional DS1 tramo1 y no lo hemos podido aplicar ya que NO HAY CUPOS DE INTEGRACION en las inmobiliarias.
Necesitamos ayuda URGENTE.
@FelipeWard @Minvu no nos escuchan y se lavan las manos.",es,1,1,2,0,"",Jeniffe79264647,amo a mi familia 😍😍,FALSE,Jeniffer🤗🤗,2021-03-23T19:45:53.000Z
1374447181155897350,2021-04-20T21:50:52.000Z,1384625639106437122,"@FelipeWard @Minvu @GuilleRolandoV @minvuvalparaiso @MinvuOHiggins @MinvuRM @minvu_loslagos @minvubiobio @MinvuAntofa @minvuatacama @minvumagallanes @FelipeWard somos cientos de familias con el subsidio ds1 tramo1 en la mano y no hemos podido aplicarlo ya que NO HAY CUPOS DE INTEGRACION en las inmobiliarias.
Sería una buena solución entregarle estas viviendas a las familias que llevan años con un subsidio.
@mas_integracion",es,1,0,3,0,"",Jeniffe79264647,amo a mi familia 😍😍,FALSE,Jeniffer🤗🤗,2021-03-23T19:45:53.000Z
1374447181155897350,2021-04-21T02:05:12.000Z,1384689646035165189,"@mas_integracion @FelipeWard @sebastianpinera @FelipeWard que fácil para uds hacer cuarentena, mientras cientos de familias que tenemos él SUBSIDIO Ds1 tramo1 seguimos viviendo hacinados en 20 o 30 m2 por que no HAY CUPOS DE INTEGRACION en las inmobiliarias en la RM. 
Necesitamos 
#mascuposdeintegracion 
#Ds1interregional",es,0,1,0,0,"",Jeniffe79264647,amo a mi familia 😍😍,FALSE,Jeniffer🤗🤗,2021-03-23T19:45:53.000Z
1374447181155897350,2021-04-21T00:08:27.000Z,1384660263786487811,"@sandovalplaza @Senado_Chile @SenadoresUDI @Senado_Chile NO son sólo los campamentos. Existen miles de familias con subsidio DS1 tramo 1 que no lo han podido aplicar por que NO HAY CUPOS DE INTEGRACION SOCIAL en las inmobiliarias.
Necesitamos una solución y el @Minvu @FelipeWard no nos escuchan.
@mas_integracion 
Ayudaaaa",es,0,0,0,0,"",Jeniffe79264647,amo a mi familia 😍😍,FALSE,Jeniffer🤗🤗,2021-03-23T19:45:53.000Z
