author_id,text,id,created_at.x,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,location,description,verified,username,url,created_at.y
102672299,@ceridread @brigadachacon @edotrigol @udipopular Dijo “Cuba y Venezuela” de nuevo!!! Jajajajajajaja,1384172693667213316,2021-04-19T15:51:01.000Z,es,0,1,0,0,Hernán,"Providencia, Santiago","I'm not perfect, but I'm perfect for you...",FALSE,yoopinopino,https://t.co/P9JKkXc5R3,2010-01-07T13:04:17.000Z
102672299,"@ceridread @brigadachacon @edotrigol @udipopular Faltaba eso para completar el pack ""momio recalcitrante"": nombrar a Cuba y Venezuela! Jajajaja.",1384169477441421321,2021-04-19T15:38:14.000Z,es,0,1,0,0,Hernán,"Providencia, Santiago","I'm not perfect, but I'm perfect for you...",FALSE,yoopinopino,https://t.co/P9JKkXc5R3,2010-01-07T13:04:17.000Z
102672299,"@ceridread @brigadachacon @edotrigol @udipopular Por lo visto, no sabes que la función del estado para resolver esos temas pasa precisamente por una nueva constitución, porque no sé si sabes que la definición del estado chileno es SUBSIDIARIO",1384156189936656391,2021-04-19T14:45:26.000Z,es,2,1,1,0,Hernán,"Providencia, Santiago","I'm not perfect, but I'm perfect for you...",FALSE,yoopinopino,https://t.co/P9JKkXc5R3,2010-01-07T13:04:17.000Z
102672299,"@ceridread @brigadachacon @edotrigol @udipopular Tu bio dice que votaste Rechazo. Eso te hace momio. Es más, te hace pinochetista",1384154271017422854,2021-04-19T14:37:49.000Z,es,0,1,0,0,Hernán,"Providencia, Santiago","I'm not perfect, but I'm perfect for you...",FALSE,yoopinopino,https://t.co/P9JKkXc5R3,2010-01-07T13:04:17.000Z
102672299,@ceridread @brigadachacon @edotrigol @udipopular Da un ejemplo sin nombrar a Cuba y Venezuela... A ver qué tan preparado estás,1384170115453779980,2021-04-19T15:40:46.000Z,es,0,1,0,0,Hernán,"Providencia, Santiago","I'm not perfect, but I'm perfect for you...",FALSE,yoopinopino,https://t.co/P9JKkXc5R3,2010-01-07T13:04:17.000Z
1033447465742204928,@carlitros78v @udipopular no todos compran tu chiste de lucha de clases y operativismo político. no todos creemos en fuentes alternas de la realidad como tu,1384604956045492224,2021-04-20T20:28:40.000Z,es,0,1,0,0,Jorge Flores,"Santiago, Metropolitana de San",Lucho por lo justo y cierto,FALSE,JorgeFl69744910,"",2018-08-25T20:14:11.000Z
1033447465742204928,@carlitros78v @udipopular mi aprendizaje en la izquierda fue muy bueno. soy muy firme en mis convicciones,1384608477021032450,2021-04-20T20:42:40.000Z,es,0,0,0,0,Jorge Flores,"Santiago, Metropolitana de San",Lucho por lo justo y cierto,FALSE,JorgeFl69744910,"",2018-08-25T20:14:11.000Z
1033447465742204928,"@carlitros78v @udipopular bueno no hace lo mismo la izquierda en su pleno con gays del barrio alto, cinico hipocrita??",1384599614117011464,2021-04-20T20:07:27.000Z,es,0,1,0,0,Jorge Flores,"Santiago, Metropolitana de San",Lucho por lo justo y cierto,FALSE,JorgeFl69744910,"",2018-08-25T20:14:11.000Z
1033447465742204928,@carlitros78v @udipopular es que eso hago colocando todo tipo de afiches contra la izquierda  en santiago,1384608269851926535,2021-04-20T20:41:50.000Z,es,0,0,0,0,Jorge Flores,"Santiago, Metropolitana de San",Lucho por lo justo y cierto,FALSE,JorgeFl69744910,"",2018-08-25T20:14:11.000Z
1115200470,"@maylwino Un defensor de genocidas de izquierda, financiado por dictaduras internacionales, hoy es presidente de la comisión de DD.HH.  Una vergüenza para el @ChileSenado y para Chile entero.

@udipopular @RNchile",1384489436268965888,2021-04-20T12:49:38.000Z,es,0,0,0,0,Tercerα Derıvαdα (no soy bot),"",Chileno. Las cosas claras y sin rodeos.,FALSE,TerceraDerivada,"",2013-01-23T20:18:29.000Z
1115200470,"@biobio Así está Chile, con este Escombro, defensor de las Dictadura Cubanas, Chavista y Maduristas a cargo de la ""Comisión de DD.HH. del Senado"".  Estos son nuestros ""honorables"".

El Ladrón persiguiendo al Juez !!

@udipopular @RNchile @joseantoniokast @Senado_Chile",1384241334312050690,2021-04-19T20:23:46.000Z,es,0,0,0,0,Tercerα Derıvαdα (no soy bot),"",Chileno. Las cosas claras y sin rodeos.,FALSE,TerceraDerivada,"",2013-01-23T20:18:29.000Z
115539347,"No pudo ser mejor respuesta es de la conocida 'Tía Pikachu' a las palabras de la candidata de la @udipopular: ""ve mucha Tele: https://t.co/9nI6hr45F7",1384651891615883268,2021-04-20T23:35:11.000Z,es,0,0,0,0,Jordano Ignacio,🇨🇱,¡Espera y confía!,FALSE,Jordmorales,"",2010-02-19T00:57:49.000Z
1172876552675188741,Para conocimiento de @Camara_cl y @Senado_Chile @PSChile @PPD_Chile @PRadicalcl @PDC_Chile @evopoli @RNchile @udipopular y se acuerden que el estallido social 18-O se originó por los ABUSOS se entiende 🤷‍♂️ https://t.co/hLRf8f7Dbb,1384714780154515457,2021-04-21T03:45:05.000Z,es,0,0,0,0,jjvelasquezvasquez,"",Naci Chuncho 💙⚽️💙. Y aquí solo digo lo que pienso,FALSE,jjvelasquezvas1,"",2019-09-14T14:16:41.000Z
117780530,#LaEutanasiaNoEsDigna es siempre ASESINATO. Nadie se puede enfermar si se considera gasto y van y los matan porque el Estado no quiere invertir en cuidados paliativos para todos @paulinanu @diegoschalper @udipopular @UrrutiaporChile https://t.co/p9D3q4w18H,1384510581558824960,2021-04-20T14:13:40.000Z,es,0,0,0,0,Isabel Undurraga Lo Barnechea🇨🇱,"Lo Barnechea, Chile","🇨🇱 libre de violencia, soberano y libre. Quiero comuna segura, proteger nuestro Patrimonio Natural, desarrollo urbano sustentable, desarrollo local #Rechazo",FALSE,Miundux,"",2010-02-26T15:56:50.000Z
118867140,"#yuyunisnavas 
Cómo puede ser candidata una ignorante?
@udipopular https://t.co/VcapRYY9s2",1384498615012544516,2021-04-20T13:26:07.000Z,es,0,0,0,0,Noemi Lizama,"",profesora por convicción y vocación..,FALSE,noeclau,"",2010-03-01T23:51:49.000Z
120396105,⁦@udipopular⁩ ⁦@RNchile⁩ ⁦@GobiernodeChile⁩ ⁦@mentiraslared⁩ ⁦@ContgoenlManana⁩ LA DERECHA FÁCTICA DE NUESTRO PAÍS 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼 https://t.co/6F3Odv65o9,1384742722372780033,2021-04-21T05:36:06.000Z,es,0,0,0,0,tommy shelby,chile,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.",FALSE,blaskhufu,"",2010-03-06T09:16:34.000Z
1206722920422264832,@Victor_Curico @germanpcorrea díganlo con todas sus letras . @udipopular el muy conchesumadre .,1384704821865979906,2021-04-21T03:05:30.000Z,es,0,0,2,0,"Renucia Piñera ,Fuera Dudamel 🔥","","𝕼𝖚𝖊 𝖑𝖆 𝖛𝖊𝖗𝖉𝖆𝖉 𝖊𝖘 𝖉𝖊 𝕯𝖎𝖔𝖘, 𝖖𝖚𝖊 𝖉𝖊𝖑 𝕯𝖎𝖆𝖇𝖑𝖔 𝖑𝖆 𝖗𝖆𝖟𝖔𝖓 𝖞 𝖑𝖔𝖘 𝖉𝖔𝖘 𝖒𝖎𝖊𝖓𝖙𝖊𝖓 𝖇𝖆𝖘𝖙𝖆𝖓𝖙𝖊.",FALSE,AcidoIzquierdO,"",2019-12-16T23:49:14.000Z
1206722920422264832,@DaUlloa83 @Lcdc06R @germanpcorrea @udipopular tenía que ser el chuchesumadre . No es primera vez que maneja ebrio y se salta las normas sanitarias.,1384704380486754309,2021-04-21T03:03:45.000Z,es,0,0,0,0,"Renucia Piñera ,Fuera Dudamel 🔥","","𝕼𝖚𝖊 𝖑𝖆 𝖛𝖊𝖗𝖉𝖆𝖉 𝖊𝖘 𝖉𝖊 𝕯𝖎𝖔𝖘, 𝖖𝖚𝖊 𝖉𝖊𝖑 𝕯𝖎𝖆𝖇𝖑𝖔 𝖑𝖆 𝖗𝖆𝖟𝖔𝖓 𝖞 𝖑𝖔𝖘 𝖉𝖔𝖘 𝖒𝖎𝖊𝖓𝖙𝖊𝖓 𝖇𝖆𝖘𝖙𝖆𝖓𝖙𝖊.",FALSE,AcidoIzquierdO,"",2019-12-16T23:49:14.000Z
