author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,description,verified,created_at.y,username
66226888,1384708975493451781,2021-04-21T03:22:01.000Z,es,"@mcubillossigall @sebastianpinera Oye que me da vergüenza que te tires a constituyente, Marcela por la mierda. No sabes nada más que tirar mierda.",0,0,0,0,✨ Peppermint Kari ✨,https://t.co/Ng7sSt2PU8,"Actriz de pobla, cuentera, activista de la performance y aprendiz del poderío.
So call me a pesimist but I don't believe in it.

https://t.co/Tw0KIF6xe5…",FALSE,2009-08-17T00:14:01.000Z,KariNavarrete__
710775480073527296,1384710820811190272,2021-04-21T03:29:21.000Z,und,@itajuschile @mcubillossigall https://t.co/MbMdkOnUyk,0,0,0,0,Alejandro-Bernabé130320,"","Cobresal.  Ing. Adm. Ing. Prev. Sernageomin B. S. Salud AT/P.
Gracias a Todos los me encaminaron a entender la Desigualdad Social y así Destestar a la Derecha.",FALSE,2016-03-18T10:30:54.000Z,ABCM13032020
710775480073527296,1384711287217795073,2021-04-21T03:31:12.000Z,es,@MakeOutForever @mcubillossigall @sebastianpinera Csm !!!  Jajajajajaja.  Salió Buena.,0,0,2,0,Alejandro-Bernabé130320,"","Cobresal.  Ing. Adm. Ing. Prev. Sernageomin B. S. Salud AT/P.
Gracias a Todos los me encaminaron a entender la Desigualdad Social y así Destestar a la Derecha.",FALSE,2016-03-18T10:30:54.000Z,ABCM13032020
719179231679418368,1384713140328337409,2021-04-21T03:38:34.000Z,es,"@mcubillossigall @ADN_por_Chile @sebastianpinera Hola Marcela! No concuerdo contigo! El señor Piñera no ha tenido voluntad alguna de establecer el EEDD. Terrorismo en la Araucania, nuestros Carabineros sin respaldo alguno , suma y sigue. Y una derechita cobarde que poco o nada hace. Sus errores, los pagamos nosotros.",8,1,15,0,Marco Antonio 🇪🇸🇨🇱🇪🇺,"",Ing.Comercial. ESPAÑOL-CHILENO.DIOS-PATRIA-LIBERTAD! DERECHA ES MI CAMINO!💚💙👮‍♂️👮🏻#YoapoyoaCarabineros 💪👍@vox_es 🇪🇸 @policia PATRIOTA,FALSE,2016-04-10T15:04:25.000Z,marcodebcn
733154278534156288,1384746798183555072,2021-04-21T05:52:18.000Z,es,"@GortariAngel @RodrigoCEsteban @VergaraRubuo @mcubillossigall @sebastianpinera Así es todos estamos aburridos de toda ésta mierda de política es transversal , ya no más !! Ya no más abusos 
No más promesas 
No más robos 
No más abusos 
No más parásitos en el congreso
Si nos fuimos a la mierda que sea ahora ya !! 
CAMBIO !!!!!!!!!!",0,0,0,0,Rocio Russetti Sabi,"","Soltera , chilena, viñamarina, pisciana cada 6 de marzo 🎂🎂🎂🎂",FALSE,2016-05-19T04:36:16.000Z,RussettiSabi
733154278534156288,1384711800181202945,2021-04-21T03:33:14.000Z,es,@RodrigoCEsteban @VergaraRubuo @mcubillossigall @sebastianpinera Si pero los escenarios de ahora no son los mismos que cuando todos votamos por él !!! Qué no entiendes Rodrigo !! Cómo tan cerrado !! En qué mundo vives por dios hombre !!!,0,2,0,0,Rocio Russetti Sabi,"","Soltera , chilena, viñamarina, pisciana cada 6 de marzo 🎂🎂🎂🎂",FALSE,2016-05-19T04:36:16.000Z,RussettiSabi
733154278534156288,1384710392618827776,2021-04-21T03:27:38.000Z,es,"@VergaraRubuo @mcubillossigall @sebastianpinera Si Piñera no importa pero la embarrada ya la dejo !! Les dejo las puertas abiertas al comunismo , con todas sus equivocaciones nos dejó a toda la derecha por el suelo , como nos levantamos ?? Crees que las personas le van a creer ahora a alguien de derecha ??",0,3,0,0,Rocio Russetti Sabi,"","Soltera , chilena, viñamarina, pisciana cada 6 de marzo 🎂🎂🎂🎂",FALSE,2016-05-19T04:36:16.000Z,RussettiSabi
771852018960986112,1384722866042810369,2021-04-21T04:17:12.000Z,es,@ElTioMamo @mcubillossigall ahi te quedas calladita. Cual fue tu legado como ministra.,0,0,0,0,Jorge 2013,"","",FALSE,2016-09-02T23:27:16.000Z,jfjf20016
771852018960986112,1384712320887185409,2021-04-21T03:35:18.000Z,es,@TamaraE_04 @mcubillossigall @sebastianpinera @Carabdechile y  quieren bono si ya se robaron todo.,0,1,5,0,Jorge 2013,"","",FALSE,2016-09-02T23:27:16.000Z,jfjf20016
771852018960986112,1384711960357376002,2021-04-21T03:33:52.000Z,es,@itajuschile @mcubillossigall Pobre unineuronal verdad q el 80 %  q le volo la raja a estos udientos es comunista o de izquerda,0,0,1,0,Jorge 2013,"","",FALSE,2016-09-02T23:27:16.000Z,jfjf20016
775519931999944705,1384710976721899520,2021-04-21T03:29:58.000Z,es,@mcubillossigall @sebastianpinera Callate vieja qla.,0,0,0,0,Omare 😳 😈👽,https://t.co/cQhyrA2hKt,La vida es una sola como para desperdiciarla ♥️😌. #bicicleta #SoyDonante #ColoColo 💪🇨🇱💥♥️ #EDM #Trance #Hardstyle #Techno #Doglover ❤️,FALSE,2016-09-13T02:22:15.000Z,omareperezgb
809546778,1384734589499977729,2021-04-21T05:03:47.000Z,es,@mcubillossigall @sebastianpinera Ándate a la ctm 🖕,0,0,0,0,Emilio Labrin Navarro,"","",FALSE,2012-09-07T20:32:17.000Z,angeluserrae
816856040146894848,1384752078619398147,2021-04-21T06:13:17.000Z,es,@elsoyanederh @mcubillossigall esa zorra les gana a todos,0,0,0,0,FER,"","",FALSE,2017-01-05T03:57:11.000Z,fernandafr301
816856040146894848,1384744322445234181,2021-04-21T05:42:28.000Z,es,@mcubillossigall @sebastianpinera Maraca !!!! Del gobierno,0,0,0,0,FER,"","",FALSE,2017-01-05T03:57:11.000Z,fernandafr301
840659075960459264,1384713741619585024,2021-04-21T03:40:57.000Z,es,@mcubillossigall @sebastianpinera No me justa ofender... pero no te mereces otro apelativo que hija de Puta.,0,0,0,0,Ramy,"","Creo en una Nueva Nación, Necesitamos la integración de los pueblos Ni derecha, Ni de Izquierda, y por si las moscas NO fumo, NO bebo, NO me drogo",FALSE,2017-03-11T20:21:57.000Z,RicardoMI2017
879218863,1384721496954884098,2021-04-21T04:11:46.000Z,es,@mcubillossigall @sebastianpinera Defiendo la Constitución hasta que el parlamento usa la Constitución para acusar al presidente.,0,0,0,0,Roberto,"",Ateo de pensamiento critico y firme defensor de la ciencia como herramienta para el desarrollo. Escéptico por naturaleza y de izquierda por convicción.,FALSE,2012-10-14T03:17:46.000Z,Roberto_CL73
910727349577990145,1384750643894800384,2021-04-21T06:07:35.000Z,und,@mcubillossigall @sebastianpinera #Infelices https://t.co/rYSCi5eU5n,0,0,0,0,Ingrid 🦊 Si poh Apruebo,"","#NoalTPP11  #NoAltoMaipo 
#WallMapuLibre #NoMasPresosPorLuchar 
#YoAprueboLaNuevaConstitucion #Leydearboladourbano
#NoMasCiclistasMuertos 
🚲 👣🌳🌿🍃 ✌️ 🎶",FALSE,2017-09-21T04:48:15.000Z,Ingrelena77
924400644374581254,1384711994293506049,2021-04-21T03:34:00.000Z,es,"@QSilencie @itajuschile @mcubillossigall 👏🏻👏🏻👏🏻 estas personas ciegas no se dan cuenta que apoyan a los que les roban de verdad amparados de un discurso aprendido de que "" el pueblo quiere quitarle sus privilegios"". Aburridosss!! Lateros!!",0,0,2,0,Andrea Trivelli Jiménez,"","Capricorniana de ❤💅🏻
Chuncha hasta la muerte 💙🤘🏻🦉
Sureña por osmosis 🗻
#Apruebo 💪🏻",FALSE,2017-10-28T22:21:02.000Z,AndreTrivelli
928302348719542272,1384718640122056705,2021-04-21T04:00:25.000Z,es,@TamaraE_04 @mcubillossigall @sebastianpinera @Carabdechile Aweona. Metete la luma voz sabis donde washa,0,0,0,0,Ariel castillo,"","",FALSE,2017-11-08T16:45:01.000Z,Ariel_lostsex22
938749944315502592,1384709081076744193,2021-04-21T03:22:26.000Z,es,@mcubillossigall @sebastianpinera Sigue ladrando lo mas que puedas ! Les falta muy poco de todas maneras !,0,0,0,0,Oussama Kaabi,"","",FALSE,2017-12-07T12:40:02.000Z,oussa_Kaabi
938749944315502592,1384708797906792448,2021-04-21T03:21:18.000Z,es,@mcubillossigall @sebastianpinera Sorprende a la gente por una sola vez por favor! 🤮,0,0,0,0,Oussama Kaabi,"","",FALSE,2017-12-07T12:40:02.000Z,oussa_Kaabi
95745671,1384709859250167809,2021-04-21T03:25:31.000Z,ca,@mcubillossigall @sebastianpinera Shin llorar deshpuesh,0,0,0,0,Ciudadano común,"","",FALSE,2009-12-09T22:16:18.000Z,D__chavez
998397344382152704,1384709609231994881,2021-04-21T03:24:32.000Z,es,"@mcubillossigall @sebastianpinera Claro cómo tú no te muerda de hambre y lo tienes todo Ake te importa el resto ,bestiaaaa con patas sigue hablando shshsjshshHH",0,0,0,0,marthita,"",El tiempo Noticias Generales Literatura Política Tendencias del momento Estado físico y bienestar Noticias sobre tecnología Arte Música,FALSE,2018-05-21T02:57:30.000Z,marthit99551241
99954059,1384735262085898242,2021-04-21T05:06:28.000Z,es,@Evasiva13 @mcubillossigall @sebastianpinera Jajajajjaa,0,0,0,0,cris,"","El Mayor Enemigo de conocimiento, no es la ignorancia…..
Es la ilusión de conocimiento” (STEPHEN HAWKING).",FALSE,2009-12-28T13:55:32.000Z,lji79
