author_id,text,id,lang,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,created_at.y,description,verified,username
2329092895,"@la_convergencia @gonzalowinter @gabrielboric @GaelDiputada @Alo__arellano @ConySchon @mgoyenechea @pgselles @Naty_campusano @IgnacioAchurra Con más fuerza!!!!! Todes sus diputades debiesen estar compartiendo esto. Que no quede en un tweet, que sea HISTORIA",1384653875337211904,es,2021-04-20T23:43:04.000Z,0,0,4,0,Faell Rodríguez G.,https://t.co/OAYipaoauh,2014-02-05T17:09:47.000Z,Identidad no-binaria. President- del Centro de Estudiantes de Filosofía UC. Hacia el post-capitalismo.,FALSE,faellsolamente
2353285118,@la_convergencia @GaelDiputada @gonzalowinter @gabrielboric @Alo__arellano @ConySchon @mgoyenechea @pgselles @Naty_campusano @IgnacioAchurra Yapo a que hora estoy q me corto con la regalona del estallido https://t.co/OM142Jtg0O,1384656736028610565,es,2021-04-20T23:54:26.000Z,0,0,1,0,Rolexsoto,"",2014-02-20T14:00:58.000Z,colocolino  tres hijos   420 la lleva .,FALSE,rolexsoto1
2360030347,@la_convergencia https://t.co/z3D2EZSVkQ,1384667170983055360,und,2021-04-21T00:35:54.000Z,0,0,0,0,Pr. Javier Soto  Cta. Oficial,https://t.co/A1AzmeLR0N,2014-02-24T21:00:56.000Z,"Mensaje profético para Chile.
Hagan memoria 1 semana antes del GRAN INCENDIO en Valpo. entregué el mensaje Salmo 104.32 a Bachelet que fue noticia y se cumplió.",FALSE,pastorsotoof
2493221430,"@la_convergencia Irresponsables. ""Las medidas implementadas por el Gobierno Nacional son resistidas de manera criminal... Los pacientes se la pasan dando vueltas horas y hora en ambulancia, antes de ser ubicados en Terapia Intensiva” .. Jefe de Terapia Intensiva del Otamendi",1384658657120595968,es,2021-04-21T00:02:04.000Z,0,0,1,0,Gaucho Cibernético,"",2014-05-13T16:38:50.000Z,Mi nombre es Oscar Richard - Peronista - Contador Público - Especializado en Finanzas y Consultor en temas Organizacionales - Empresario PyMe,FALSE,orejano55
2595837263,@biobio En mi libertad de expresión pienso que @gabrielboric @gonzalowinter y toda @la_convergencia son una cáfila de imbéciles deficientes mentales socavados por el uso de alcohol y drogas. Las bostas son más valiosas que  Uds,1384672868391325697,es,2021-04-21T00:58:32.000Z,0,0,2,0,Rodrigo Calderón Cárdenas,"",2014-06-09T19:47:11.000Z,"Nacionalista, azul hasta la médula. Lucho contra la deconstrucción.
Políticamente incorrecto. Boticario comunitario de verdad y no puro blablá 🎸🎸🎸🎸",FALSE,alabeo88
2865730870,@la_convergencia @Daniel_Dem1 @gonzalowinter @gabrielboric @GaelDiputada @Alo__arellano @ConySchon @mgoyenechea @pgselles @Naty_campusano @IgnacioAchurra pónganse de acuerdo dicen diferentes horas hagan un hashtag,1384653639491493891,es,2021-04-20T23:42:07.000Z,0,1,4,0,metalesrojos valpo,"",2014-11-07T14:37:03.000Z,Escultora,FALSE,met_valpo
3230936278,"La indolencia del Pdte Piñera llevando al Tribunal Constitucional el único salvavidas económico que las familias chilenas, es intolerable y una muestra más de su nula empatia. #TercerRetiro10ciento #Cacelorazo

@gonzalowinter @gabrielboric @la_convergencia @baradit @LatorreJI https://t.co/yAxy1Tddnm",1384674604938141696,es,2021-04-21T01:05:26.000Z,26,1,37,0,Nataly Campusano,https://t.co/RgJ4utjavw,2015-05-03T15:53:19.000Z,"Actual Consejera Regional de Valparaíso por el Frente Amplio. Directora Territorios Colectivos. 
La Región con Lentes de Mujer, vamos con todo! 💜✊",FALSE,Naty_campusano
3315691330,@la_convergencia @Naty_campusano @gonzalowinter @gabrielboric @GaelDiputada @Alo__arellano @ConySchon @mgoyenechea @pgselles @IgnacioAchurra https://t.co/CGBHaseLih,1384655127991263232,und,2021-04-20T23:48:02.000Z,0,0,0,0,Guillermo Quiroz,"",2015-06-09T19:10:18.000Z,En tercera via ciudadana Observó y medito mejorar mi país aunque algunos me vean como un patipelado,FALSE,terceraviaciuda
336293379,"Chile no necesita palabras, necesita acciones. #acusaciónconstitucional
#AcusacionConstitucionalAPiñeraAhora
@RDemocratica @PDC_Chile @PSChile @PRSDChile @Liberales_Chile @la_convergencia @PPD_Chile @PCdeChile @phumanista @elfrente_amplio",1384697134210035712,es,2021-04-21T02:34:57.000Z,1,0,1,0,#apruebo #CC 🏳️‍🌈,"",2011-07-16T01:57:23.000Z,"Chillanense.  Católico. #catlover ... Siempre a la izquierda.
En todo amar y servir 🇨🇱🐈🏳️‍🌈",FALSE,mavileslillo
383309209,"Te acuerdas de este discurso @sebastianpinera, Le estás haciendo lo mismo a tú pueblo, eso si acá con la complicidad de la pseudo IZQUIERDA que no son capaces de acusarte constitucionalmente @PDC_Chile @PSChile @PPD_Chile @PRSDChile @RDemocratica @elfrente_amplio @la_convergencia https://t.co/MO9EsxNVTy",1384742376443416577,es,2021-04-21T05:34:44.000Z,0,0,1,0,Yo APRUEBO Justo Sánchez,"",2011-10-01T17:02:45.000Z,"Dirigente Asociación Nacional de Funcionarios de Aduanas 
Andino de corazón, mi corazón ❤ siempre a la izquierda.",FALSE,jufesa1967
