author_id,lang,text,id,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,username,description,url,created_at.y,location,verified
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/2IaGTMnC7s,1384677060493328384,2021-04-21T01:15:11.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/BnE4YaWwT5,1384693093325316096,2021-04-21T02:18:54.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/oEkB4J5qnR,1384676856348221444,2021-04-21T01:14:23.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #variantepiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @biobio @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/3F8nuQj8a2,1384674021418094595,2021-04-21T01:03:07.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/A3zfu1fGI2,1384676737347473408,2021-04-21T01:13:54.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #variantepiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @biobio @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/AF1b48sfPx https://t.co/t8okIZEyMi,1384673858679197696,2021-04-21T01:02:28.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/NOKJOmwYKI,1384676643684421634,2021-04-21T01:13:32.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/pNOhi1jne9,1384692878568574978,2021-04-21T02:18:03.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/B15EVTWQlY https://t.co/HddQvi5SOF,1384676460816998407,2021-04-21T01:12:48.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
120396105,und,#TercerRetiroAfpONoHayVotos @sebastianpinera #LaVariantePiñera @ivanmoreirab @mentiraslared @fuentesilva2 @ContgoenlManana @Camara_cl @Senado_Chile @ProvosteYasna @ximerincon @felipeharboe @Insulza @gabrielboric @SenadoresRN @diputadosudi @PamJiles @carolinagoic https://t.co/eldxsmA7FL https://t.co/fZPUnlOyZ6,1384676317111767041,2021-04-21T01:12:14.000Z,0,0,0,0,tommy shelby,blaskhufu,"ni d izquierda ni d derecha,equilibrio,en todo orden d cosas,mi vida es mi familia,Cuando la verdad se digna venir,su hermana libertad no estará lejos.","",2010-03-06T09:16:34.000Z,chile,FALSE
