author_id,id,text,created_at.x,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,username,location,url,created_at.y,name,verified,description
1005918268824137728,1384715471363231745,"@RealidadNacion6 @maylwino Si , la impotencia , el pueblo se aburrió de este sicópata.",2021-04-21T03:47:49.000Z,es,0,0,1,0,eltatan79,"","",2018-06-10T21:02:59.000Z,Sebastian 🙈,FALSE,"Apasionado del fútbol,  hincha del más grande Chile , amante de los animales , ni de  derecha ni de  izquierda ."
105911219,1384737078211194881,@maylwino Ajjajajaja ay mariana! Me haces tanto reir🤣,2021-04-21T05:13:41.000Z,es,0,0,0,0,Alexya173,Chile,"",2010-01-17T22:30:50.000Z,Alexya Aguirre,FALSE,"Alegre, animada,buena amiga, lectora y YO 🤣. Intolerante a l@s cabezas cuadradas 🏎🎼👾"
1086686497829457920,1384714445256019971,@maylwino Parece que tiene paperas 😔,2021-04-21T03:43:45.000Z,es,0,0,0,0,millenclonin,"Santiago, Metropolitana de San","",2019-01-19T18:07:05.000Z,Millen,FALSE,"One life, One chance. amante de la música Straight Edge , y los tattoos, soltero con 2 hijas. Director Sindicato Xerox de Chile"
1097269446752849921,1384733748416192512,@maylwino El único verdadero dictador fue tu PINOCHET asesinando a un presidente,2021-04-21T05:00:27.000Z,es,0,0,0,0,chalecos_chile,"Puente Alto, Chile","",2019-02-17T22:59:57.000Z,Chile_EnDictadura,FALSE,"¡🇨🇱Ser de Izquierda! ¡Un Honor!
#Aprobamos🔥 #NotLawFare
#GlobalRevolution🌿#JaduePresidente
#MilitanteComunista📌"
1108855386390626309,1384709881228402694,@maylwino Aguante navarro,2021-04-21T03:25:37.000Z,pt,0,0,0,0,MrEnlated,Tetrapak,"",2019-03-21T22:18:20.000Z,Mr Based,FALSE,Enjoyer
1185377958564913154,1384709057039241216,"@maylwino Hoy supe cómo tu padre se convirtió en presidente de la República, se cago a Gabriel Valdés, son todos iguales",2021-04-21T03:22:20.000Z,es,0,0,0,0,capucanela,"","",2019-10-19T02:12:49.000Z,@CapuCanela,FALSE,"soy una persona que odia a todos los hijos de puta que torturaron, violaron asesinaron, quemaron vivos a compatriotas"
118800831,1384723649979158529,@RealidadNacion6 @maylwino Y ustedes creen real% que el Gobierno acude al TC para bloquear el retiro pk le importan las pensjones?,2021-04-21T04:20:19.000Z,es,0,0,0,0,edutem,Santiago,"",2010-03-01T19:55:10.000Z,Mora,FALSE,"Ingeniero Sistemas Microsoft; Albo de corazon.
No veo Series de Ningun Tipo
""El conflicto genera creatividad""
""impossible is Nothing"""
1189672672139059202,1384724953766023169,"@juanpasaez @maylwino Pero ya no está desgraciadamente! Hoy hay puros aprovechadores! de bajo intelecto y sabiduría y solo interesan sus mezquinos intereses utilizando a la gente, así no llegaremos a ningún lado aunque hagan 20 veces la Constitución",2021-04-21T04:25:30.000Z,es,0,0,0,0,marctow07864286,"","",2019-10-30T22:37:42.000Z,marctownsend,FALSE,"Empresario, Emprendedor, Exportador"
1189672672139059202,1384722990219280384,@maylwino Esto es la Comedia de las equivocaciones🤣,2021-04-21T04:17:42.000Z,es,0,0,0,0,marctow07864286,"","",2019-10-30T22:37:42.000Z,marctownsend,FALSE,"Empresario, Emprendedor, Exportador"
1189672672139059202,1384722839497023488,@maylwino Plop! Exijo una explicación!,2021-04-21T04:17:06.000Z,es,0,0,0,0,marctow07864286,"","",2019-10-30T22:37:42.000Z,marctownsend,FALSE,"Empresario, Emprendedor, Exportador"
1196444744852918273,1384724921444614151,@maylwino fue el chiste del día... SENADORES RASCAS!!,2021-04-21T04:25:22.000Z,es,0,0,0,0,MariaEl50369265,"","",2019-11-18T15:07:20.000Z,Maria Elena,FALSE,"Con espíritu, Con estudio, Con superación, Con RESPETO y con amor ... Siempre Por la #Derecha #El90TambienEsMio #Rechazo #AmoamiPais #Patriota de CORAZON"
