author_id,id,created_at.x,text,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,name,verified,url,description
2935491537,1384727257109966851,2021-04-21T04:34:39.000Z,"@quevedovicky @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384727127187197952,2021-04-21T04:34:08.000Z,"@Nellatronic @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384726970014085121,2021-04-21T04:33:31.000Z,"@GloRiaSeDyk @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,1,0,1,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384726936040136705,2021-04-21T04:33:23.000Z,"@Pato_Desierto @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,1,0,1,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384723000117841920,2021-04-21T04:17:44.000Z,"@lNFOSCHILE @JadyChile Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,2,0,2,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384722917154492416,2021-04-21T04:17:25.000Z,"@joalmo14 @valpoinformado Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,1,1,1,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384725062201315328,2021-04-21T04:25:56.000Z,"@biobio @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,1,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384724806306762752,2021-04-21T04:24:55.000Z,"@karina_ol @RepFederalChile Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384724738006781953,2021-04-21T04:24:39.000Z,"@DebiaPedro @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384724486533042183,2021-04-21T04:23:39.000Z,"@UnionPortcentro @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384708374592376832,2021-04-21T03:19:37.000Z,"@PCdeChile Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384727689592983552,2021-04-21T04:36:22.000Z,"@KarinaNohales @Mauro24394375 Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384723676214538242,2021-04-21T04:20:25.000Z,"@MegafonoPopular @capucha_informa Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,1,0,1,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384723585562984449,2021-04-21T04:20:04.000Z,"@DyP82646518 @melnicksergio Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,2,1,1,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384723490478170112,2021-04-21T04:19:41.000Z,"@mar_andrea87 @RepFederalChile Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,1,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384723406944456704,2021-04-21T04:19:21.000Z,"@natysanhueza2 @RepFederalChile Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384723375495524353,2021-04-21T04:19:14.000Z,"@LaQuintaValpo @JuanitaChaconS Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384707836601671682,2021-04-21T03:17:29.000Z,"@karenglavic @ElinaOliva Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384707782205747201,2021-04-21T03:17:16.000Z,"@PameParraguez Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,0,0,0,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
2935491537,1384722829736910848,2021-04-21T04:17:04.000Z,"@DrSuazo915 @RepFederalChile @Xeras_BD @TPU19J @Mister_Wolf_0 @chileconvoca @Venusiana__ Alguien aun no tiene claro que #Democracia y #Estado está secuestrado hace 30 años por una inutil #ClasePolitica y sus #PartidosPolíticos ? 

Quienes son : @PPD_Chile @PSChile @udipopular @RNchile @elfrente_amplio @PCdeChile @DiputadosDC @phumanista @PRadicalcl @Liberales_Chile",es,1,0,1,0,2014-12-21T17:03:00.000Z,barriobenavente,BarrioBenavente,FALSE,"",""
