author_id,created_at.x,text,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,name,username,created_at.y,location,url,description
18248645,2021-04-21T04:37:17.000Z,"#ÚltimaMirada | Raúl Sohr por sentencia del ex policía responsable del homicidio de George Floyd: ""En EE.UU. hubo un suspiro de alivio, sobre todo en el gobierno, con la condena a Derek Chauvin""

@fernandopaulsen https://t.co/Ox6C5F6K3w https://t.co/gZ7qz6uivP",1384727916928552960,es,7,4,44,0,TRUE,CNN Chile,CNNChile,2008-12-19T19:09:28.000Z,Chile,http://t.co/lWRyoBdH28,Somos la cuenta oficial en Twitter de CNN Chile #VamosMásAllá
18248645,2021-04-21T04:20:35.000Z,"@fernandopaulsen #ÚltimaMirada | Diputado Vlado Mirosevic (PL) y proyecto de eutanasia: ""Me da la impresión de que en el Senado nos va a ir bien""

@fernandopaulsen https://t.co/Ox6C5F6K3w https://t.co/W2oHoxHv8E",1384723718061056002,es,2,0,44,1,TRUE,CNN Chile,CNNChile,2008-12-19T19:09:28.000Z,Chile,http://t.co/lWRyoBdH28,Somos la cuenta oficial en Twitter de CNN Chile #VamosMásAllá
18248645,2021-04-21T04:15:15.000Z,"#ÚltimaMirada | Diputado Vlado Mirosevic (PL) y proyecto de eutanasia: ""Logramos que el proyecto se apruebe en muy buenos términos, con la aprobación de dos causales: enfermedad terminal y las que causan dolor físico intolerable""

@fernandopaulsen https://t.co/Ox6C5F6K3w https://t.co/A19am43vql",1384722371911819264,es,19,4,103,1,TRUE,CNN Chile,CNNChile,2008-12-19T19:09:28.000Z,Chile,http://t.co/lWRyoBdH28,Somos la cuenta oficial en Twitter de CNN Chile #VamosMásAllá
18248645,2021-04-20T04:49:50.000Z,"#ÚltimaMirada | El analista internacional Raúl Sohr comenta el histórico vuelo de helicóptero en Marte: ""Es un gran éxito para la NASA. Lo pudieron colocar sobre Marte y lo hicieron volar. El efecto de demostración es trascendental""

@fernandopaulsen https://t.co/Ox6C5F6K3w https://t.co/iDu6NBhuRp",1384368688242044929,es,13,5,41,0,TRUE,CNN Chile,CNNChile,2008-12-19T19:09:28.000Z,Chile,http://t.co/lWRyoBdH28,Somos la cuenta oficial en Twitter de CNN Chile #VamosMásAllá
18248645,2021-04-21T04:05:42.000Z,"🔴 Damos inicio a una nueva edición de #ÚltimaMirada con 
@fernandopaulsen

Esta noche conversamos con el diputado Vlado Mirosevic (PL) y analizamos con Raúl Sohr la sentencia del ex policía responsable del homicidio de George Floyd

https://t.co/Ox6C5F6K3w https://t.co/nj3Za2jzWr",1384719971478036482,es,3,1,21,0,TRUE,CNN Chile,CNNChile,2008-12-19T19:09:28.000Z,Chile,http://t.co/lWRyoBdH28,Somos la cuenta oficial en Twitter de CNN Chile #VamosMásAllá
18248645,2021-04-20T04:04:08.000Z,"🔴 Damos inicio a una nueva edición de #ÚltimaMirada con 
@fernandopaulsen

Esta noche conversamos con el psiquiatra y director ejecutivo Fundación ProCultura, Alberto Larraín, y analizamos con Raúl Sohr el vuelo de un dron en Marte

https://t.co/Ox6C5F6K3w https://t.co/hE7JurX3QU",1384357189205254145,es,2,3,12,0,TRUE,CNN Chile,CNNChile,2008-12-19T19:09:28.000Z,Chile,http://t.co/lWRyoBdH28,Somos la cuenta oficial en Twitter de CNN Chile #VamosMásAllá
18248645,2021-04-20T04:17:48.000Z,"#ÚltimaMirada | Alberto Larraín, psiquiatra y director ejecutivo Fundación ProCultura: ""No sólo tenemos una crisis en materia de salud mental, sino que tenemos un continuo ninguneo a poder entender que esta es una variable a considerar""

@fernandopaulsen https://t.co/Ox6C5F6K3w https://t.co/m84dq5OX3P",1384360627108556800,es,38,4,74,1,TRUE,CNN Chile,CNNChile,2008-12-19T19:09:28.000Z,Chile,http://t.co/lWRyoBdH28,Somos la cuenta oficial en Twitter de CNN Chile #VamosMásAllá
18248645,2021-04-20T04:13:07.000Z,"#ÚltimaMirada | Alberto Larraín, psiquiatra y director ejecutivo Fundación ProCultura, por salud mental: ""La semana pasada el tema ya era malo, pero este fin de semana se dinamitó""

@fernandopaulsen https://t.co/Ox6C5F6K3w https://t.co/ACmpmeqNzX",1384359449956061185,es,21,4,55,1,TRUE,CNN Chile,CNNChile,2008-12-19T19:09:28.000Z,Chile,http://t.co/lWRyoBdH28,Somos la cuenta oficial en Twitter de CNN Chile #VamosMásAllá
1927636664,2021-04-20T20:58:05.000Z,Les comparto el programa #ToleranciaCero conducido por los colegas @tv_monica @fernandopaulsen @MacaLescornez y el investigador @dmansuyhuerta donde tuvieron como invitada a la candidata a Constituyente @labeasanchez https://t.co/lGFQJxVPL0,1384612359113641989,es,1,0,1,0,FALSE,Rodrigo Varas López (cuenta profesional),HombredeNoticia,2013-10-02T17:43:58.000Z,Iquique ,https://t.co/fhGDN9NkIm,"Periodista  especializado en Medios
digitales UNIACC, noticias politicas, medioambientales, culturales, internacionales, nacionales
Columnas de periodistas"
198530588,2021-04-19T22:16:34.000Z,👏👏👏👏 @fernandopaulsen usando su don de la palabra informando y con razón. https://t.co/lOtXrARzho,1384269721290240002,es,0,0,0,0,FALSE,Emilio,emiliocardoen,2010-10-04T15:23:05.000Z,"Lolol, Chile",https://t.co/Yp9LEeztvZ,@vinasantacruz es mi copiloto
199487077,2021-04-20T11:20:46.000Z,"@rafa_cavada @fernandopaulsen Este sr paulsen generalmente es muy aplomado en sus comentarios, divaga mucho si, pero algo bueno sale de eso, es el sentir de la mayoria de los ciudadanos el estado te come hasta mas no poder en imptos pero es malo para entregar ayuda le cuesta y prefiere llenarse de trabas",1384467070717415427,es,0,0,1,0,FALSE,orlando vargas,ovargasj,2010-10-07T00:21:42.000Z,"","",""
